2N7002-7-F	from hqew, 捷辉电子商行	PIOPES	&nbsp;	4010	SOT-23
ICS9FG1200AG-5L	from hqew, 捷辉电子商行	ICS	1039+	88	TSSOP56
ICS9LPRS485BGLF	from hqew, 捷辉电子商行	ICS	0731+	66	TSSOP56
IDGV1G-05A1F1C-40X	from hqew, 捷辉电子商行	Other	0906+	20	BGA
IGP-128	from hqew, 捷辉电子商行	NVIDIA	02+	10	BGA
INT5500A1G	from hqew, 捷辉电子商行	INTELLON	0626+	5	QFP
IT8211F-DXS	from hqew, 捷辉电子商行	ITE	0550+	730	QFP128
IT8212F CXS	from hqew, 捷辉电子商行	ITE	0412+	112	QFP128
IT8212F/DXS	from hqew, 捷辉电子商行	ITE	0545+	95	QFP128
IT8212F/DXS	from hqew, 捷辉电子商行	ITE	0532+	11	QFP128
IT8213F/AXS	from hqew, 捷辉电子商行	ITE	0935+	26	QFP128
IT8213F/AXS	from hqew, 捷辉电子商行	ITE	0802+	420	QFP128
IT8213F/AXS	from hqew, 捷辉电子商行	ITE	0815+	60	QFP128
IT8702F-A/GXS	from hqew, 捷辉电子商行	ITE	0408+	81	QFP128
IT8705F/FXS	from hqew, 捷辉电子商行	ITE	0550+	38	QFP128
IT8712F-A GXS	from hqew, 捷辉电子商行	ITE	0509+	70	QFP128
IT8712F-A IXS GB	from hqew, 捷辉电子商行	ITE	0629+	598	QFP128
IT8712F-A/HXS/GB	from hqew, 捷辉电子商行	ITE	0503+	14	QFP128
IT8712F-DXS	from hqew, 捷辉电子商行	ITE	0546+	2	QFP
IT8716F-S/DXS	from hqew, 捷辉电子商行	ITE	0726+	2	QFP128
IT8718F-S/CXS/GB	from hqew, 捷辉电子商行	ITE	0631+	11	QFP128
IT8720F/CXS	from hqew, 捷辉电子商行	ITE	0926+	5	QFP128
IT-8X-4800	from hqew, 捷辉电子商行	NVIDIA	0308+	1	BGA
J1116BASE-DJ-E	from hqew, 捷辉电子商行	ELPIDA	0832+	66	BGA
J1116BASE-DJ-E	from hqew, 捷辉电子商行	ELPIDA	0829+	2	BGA
JG82865G SL99Y	from hqew, 捷辉电子商行	INTEL	0723+	101	BGA
JG82865GV SL7YF	from hqew, 捷辉电子商行	INTEL	0716+	1	BGA
K4D261638E-TC36	from hqew, 捷辉电子商行	SAMSUNG	0349+	96	TSSOP
K4D261638E-TC40	from hqew, 捷辉电子商行	SAMSUNG	0504+	10	TSSOP66
K4D261638F-TC40	from hqew, 捷辉电子商行	SAMSUNG	0504+	12	TSSOP
K4D261638I-LC5D	from hqew, 捷辉电子商行	SAMSUNG	0546+	1	TSSOP66
K4D551638F-TC50	from hqew, 捷辉电子商行	SAMSUNG	0413+	21	TSSOP66
K4D551638F-TC50	from hqew, 捷辉电子商行	SAMSUNG	0516+	3	TSSOP
K4D551638F-TC50	from hqew, 捷辉电子商行	SAMSUNG	0410+	50	TSSOP
K4J10324QD-HC12	from hqew, 捷辉电子商行	SAMSUNG	0816+	11	BGA
K4J10324QD-HJ1A	from hqew, 捷辉电子商行	SAMSUNG	0837+	25	BGA
K4J10324QD-HJ1A	from hqew, 捷辉电子商行	SAMSUNG	0904+	1	BGA
K4J52324QE-BC14	from hqew, 捷辉电子商行	SAMSUNG	0734+	20	BGA
K4J52324QH-HJ08	from hqew, 捷辉电子商行	SAMSUNG	0931+	64	BGA
K4J55323QF-GC16	from hqew, 捷辉电子商行	SAMSUNG	0513+	39	BGA
K4N56163QG-ZC25	from hqew, 捷辉电子商行	SAMSUNG	0716+	1	BGA
K4N56163QG-ZC25	from hqew, 捷辉电子商行	SAMSUNG	0643+	5	BGA
KM400 CD	from hqew, 捷辉电子商行	VIA	0412+	4	BGA
LE82946GZ SL9R4	from hqew, 捷辉电子商行	INTEL	0625+	4	BGA
LE82GL960 SLA5V	from hqew, 捷辉电子商行	INTEL	0808+	95	BGA
LE82P31 SLAHX	from hqew, 捷辉电子商行	INTEL	0752+	196	BGA
LE82P31 SLAHX	from hqew, 捷辉电子商行	INTEL	0745+	4	BGA
LE82P31 SLAHX	from hqew, 捷辉电子商行	INTEL	0744+	139	BGA
LE82P31 SLASK	from hqew, 捷辉电子商行	INTEL	0816+	3	BGA
LE82P31 SLASK	from hqew, 捷辉电子商行	INTEL	0814+	57	BGA
LE82P31 SLASK	from hqew, 捷辉电子商行	INTEL	0738+	226	BGA
LE82P31 SLASK	from hqew, 捷辉电子商行	INTEL	0818+	35	BGA
LE82P35 SLA9R	from hqew, 捷辉电子商行	INTEL	0743+	146	BGA
LE82P35 SLA9R	from hqew, 捷辉电子商行	INTEL	0720+	2	BGA
LE82P35 SLA9R	from hqew, 捷辉电子商行	INTEL	0811+	306	BGA
LE82P35 SLA9R	from hqew, 捷辉电子商行	INTEL	0727+	15	BGA
LE82P965 SL9NU	from hqew, 捷辉电子商行	INTEL	0631+	121	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0639+	1	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0629+	63	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0623+	10	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0539+	1	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0646+	287	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0651+	131	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0633+	42	BGA
LE82Q963 SL9R2	from hqew, 捷辉电子商行	INTEL	0646+	33	BGA
LM4866MTE	from hqew, 捷辉电子商行	NS	&nbsp;	180	TSSOP
LP61G6464AF-5	from hqew, 捷辉电子商行	ELITEMT	0026+	7	QFP128
LPC47M997-NR	from hqew, 捷辉电子商行	SMSC	0545+	4	QFP128
LPC47M997-NR	from hqew, 捷辉电子商行	SMSC	0540+	1	QFP128
LPC47M997-NR	from hqew, 捷辉电子商行	SMSC	0537+	2	QFP128
LSISAS1068E B2	from hqew, 捷辉电子商行	LSI	0804+	65	BGA
MX25L1606EM2I-12G	from hqew, 捷辉电子商行	MXIC	09+	3	
MX29LV160DBTI-70G	from hqew, 捷辉电子商行	MX	0924+	28	TSOP48
MX440-8X	from hqew, 捷辉电子商行	NVIDIA	0407+	20	BGA
M1689B1	from hqew, 捷辉电子商行	ALI	0439+	1	BGA
M1689B1	from hqew, 捷辉电子商行	ALI	0511+	1	BGA
N11M-GE1-B-A3	from hqew, 捷辉电子商行	NVIDIA	0942+	2	BGA
N230 SLB6Z	from hqew, 捷辉电子商行	INTEL	0819+	62	BGA
NF2-MCP-T-A4	from hqew, 捷辉电子商行	NVIDIA	0419+	190	BGA
NF3-250-A2	from hqew, 捷辉电子商行	NVIDIA	0533+	3	BGA
NF3-250-A2	from hqew, 捷辉电子商行	NVIDIA	0530+	1	BGA
NF-430-N-A3	from hqew, 捷辉电子商行	NVIDIA	0737+	514	BGA
NF-430-N-A3	from hqew, 捷辉电子商行	NVIDIA	0646+	2	BGA
NF-430-N-A3	from hqew, 捷辉电子商行	NVIDIA	0825+	54	BGA
NF-430-N-A3	from hqew, 捷辉电子商行	NVIDIA	0647+	9	BGA
NF4-4X-B1	from hqew, 捷辉电子商行	NVIDIA	0915+	381	BGA
NF4-A3	from hqew, 捷辉电子商行	NVIDIA	0527+	36	BGA
NF4-SLI-MCP-A3	from hqew, 捷辉电子商行	NVIDIA	0545+	2	BGA
NF4-SLI-SPP-A2	from hqew, 捷辉电子商行	NVIDIA	0515+	106	BGA
NF4-SLI-SPP-A2	from hqew, 捷辉电子商行	NVIDIA	0519+	48	BGA
NF4-SLI-SPP-A2	from hqew, 捷辉电子商行	NVIDIA	0513+	36	BGA
NF4-ULTRA-A3	from hqew, 捷辉电子商行	NVIDIA	0512+	21	BGA
NF4-ULTRA-A3	from hqew, 捷辉电子商行	NVIDIA	0510+	1	BGA
NF500-N-B1	from hqew, 捷辉电子商行	NVIDIA	0703+	278	BGA
NF500-SLI-N-B1	from hqew, 捷辉电子商行	NVIDIA	0646+	5	BGA
NF500-SLI-N-B1	from hqew, 捷辉电子商行	NVIDIA	0703+	1	BGA
NF500-SLI-N-B1	from hqew, 捷辉电子商行	NVIDIA	0643+	342	BGA
NF520-A3	from hqew, 捷辉电子商行	NVIDIA	0806+	85	BGA
NF520-A3	from hqew, 捷辉电子商行	NVIDIA	0739+	17	BGA
NF520-A3	from hqew, 捷辉电子商行	NVIDIA	0721+	11	BGA
NF520-A3	from hqew, 捷辉电子商行	NVIDIA	0841+	1	BGA
NF520LE-A3	from hqew, 捷辉电子商行	NVIDIA	0810+	16	BGA
NF550-N-A2	from hqew, 捷辉电子商行	NVIDIA	0718+	5	BGA
NF550-N-A2	from hqew, 捷辉电子商行	NVIDIA	0647+	2	BGA
NF550-N-A3	from hqew, 捷辉电子商行	NVIDIA	0721+	12	BGA
NF550-N-A3	from hqew, 捷辉电子商行	NVIDIA	0850+	11	BGA
NF560-A3	from hqew, 捷辉电子商行	NVIDIA	0746+	25	BGA
NF570-SLI-N-A3	from hqew, 捷辉电子商行	NVIDIA	0743+	5	BGA
NF570-SLI-N-A3	from hqew, 捷辉电子商行	NVIDIA	0817+	3	BGA
NF590-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0702+	2	BGA
NF-6100-405-N-A3	from hqew, 捷辉电子商行	NVIDIA	0744+	106	BGA
NF-6100-N-A2	from hqew, 捷辉电子商行	NVIDIA	1005+R	438	BGA
NF-6100-N-A2	from hqew, 捷辉电子商行	NVIDIA	0910+	26	BGA
NF-6100-N-A2	from hqew, 捷辉电子商行	NVIDIA	0940+	7	BGA
NF-6100-N-A2	from hqew, 捷辉电子商行	NVIDIA	0834+	2	BGA
NF-6150B-N-A2	from hqew, 捷辉电子商行	NVIDIA	0552+	22	BGA
NF-6150LE-N-A2	from hqew, 捷辉电子商行	NVIDIA	0643+	7	BGA
NF6501-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0710+	57	BGA
NF650I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0717+	3	BGA
NF680I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0740+	12	BGA
NF680I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0716+	1	BGA
NF680I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0650+	10	BGA
NF680I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0702+	8	BGA
NF680I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0715+	32	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0735+	2	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0931+	2	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0817+	4	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0932+	4	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0808+	2	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0926+	1	BGA
NF-7100-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0806+	9	BGA
NF-7100-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0813+	4	BGA
NF-7100-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0744+	1	BGA
NF-7150-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0921+	35	BGA
NF-7150-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0745+	1	BGA
NF-IGP-64	from hqew, 捷辉电子商行	NVIDIA	0312+	43	BGA
NF-IGP-64B	from hqew, 捷辉电子商行	NVIDIA	0246+	10	BGA
NFP-3600-N-A3	from hqew, 捷辉电子商行	NVIDIA	0918+	8	BGA
NF-SPP190-N-A2	from hqew, 捷辉电子商行	NVIDIA	0741+	44	BGA
NG82910GL SL8BV	from hqew, 捷辉电子商行	INTEL	0522+	122	BGA
NG82915P SL8BW	from hqew, 捷辉电子商行	INTEL	0540+	3	BGA
NG82915P SL8BW	from hqew, 捷辉电子商行	INTEL	0522+	47	BGA
NG82915P SL8BW	from hqew, 捷辉电子商行	INTEL	0535+	60	BGA
NG82915PL SL8D6	from hqew, 捷辉电子商行	INTEL	0504+	18	BGA
NG82915PL SL8D6	from hqew, 捷辉电子商行	INTEL	0515+	2	BGA
NG82925X SL7LZ	from hqew, 捷辉电子商行	INTEL	0421+	39	BGA
NG82925XE/SL84Z	from hqew, 捷辉电子商行	INTEL	0446+	157	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0721+	500	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0618+	2	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0722+	345	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0723+	24	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0627+	90	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0711+	45	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0715+	2713	BGA
NH82801EB/SL7YC	from hqew, 捷辉电子商行	INTEL	0715+	2713	BGA
NH82801GB SL8FX	from hqew, 捷辉电子商行	INTEL	0150+	2	BGA
NH82801GHM SL8YR	from hqew, 捷辉电子商行	INTEL	0609+	2	BGA
NH82801GHM SL8YR	from hqew, 捷辉电子商行	INTEL	0545+	1	BGA
NH82801GR SL8FY	from hqew, 捷辉电子商行	INTEL	0808+	2	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0819+	1	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0710+	10	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0702+	33	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0820+	137	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0630+	5	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0639+	3	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0629+	6	BGA
NH82801HB/SL9MN	from hqew, 捷辉电子商行	INTEL	0714+	1352	BGA
NH82801HEM SLB9B	from hqew, 捷辉电子商行	INTEL	1030+	360	BGA
NH82801HH SL9ML	from hqew, 捷辉电子商行	INTEL	0637+	1	BGA
NH82801HO SL9MM	from hqew, 捷辉电子商行	INTEL	0719+	288	BGA
NH82801HO SL9MM	from hqew, 捷辉电子商行	INTEL	0734+	50	BGA
NH82801HO SL9MM	from hqew, 捷辉电子商行	INTEL	0840+	7	BGA
NH82801HO SL9MM	from hqew, 捷辉电子商行	INTEL	0641+	5	BGA
NH82801HO SL9MM	from hqew, 捷辉电子商行	INTEL	0715+	50	BGA
NH82801HO SL9MM	from hqew, 捷辉电子商行	INTEL	0706+	96	BGA
NH82801HR SL9MK	from hqew, 捷辉电子商行	INTEL	0848+	2	BGA
NH82801HR SL9MK	from hqew, 捷辉电子商行	INTEL	0638+	126	BGA
NH82801IB SLA9M	from hqew, 捷辉电子商行	INTEL	0752+	14	BGA
NH82801IO SLAFD	from hqew, 捷辉电子商行	INTEL	0822+	32	BGA
NH82801IO SLAFD	from hqew, 捷辉电子商行	INTEL	0812+	6	BGA
NH82801IO SLAFD	from hqew, 捷辉电子商行	INTEL	0843+	44	BGA
NQ6700PXH SL7N2	from hqew, 捷辉电子商行	INTEL	0545+	2	BGA
NQ6700PXH SL7N2	from hqew, 捷辉电子商行	INTEL	0551+	40	BGA
NQE7221MC SL7YQ	from hqew, 捷辉电子商行	INTEL	0616+	351	BGA
NQE7230 SL8KK	from hqew, 捷辉电子商行	INTEL	0525+	30	BGA
NQE7320MC SL7XV	from hqew, 捷辉电子商行	INTEL	0609+	100	BGA
NQE7520MC SL7XT	from hqew, 捷辉电子商行	INTEL	0515+	5	BGA
NQE7520MC SL7XT	from hqew, 捷辉电子商行	INTEL	0535+	39	BGA
NQE7525MC SL7XW	from hqew, 捷辉电子商行	INTEL	0448+	36	BGA
NU82X38 SLALJ	from hqew, 捷辉电子商行	INTEL	0748+	9	BGA
NU82X48 SLASF	from hqew, 捷辉电子商行	INTEL	0836+	10	BGA
NV102-A2	from hqew, 捷辉电子商行	NVIDIA	1009+	10	BGA
NV102-A2	from hqew, 捷辉电子商行	NVIDIA	1003+	3	BGA
P4M800 PRO CD	from hqew, 捷辉电子商行	VIA	0706+	210	BGA
P4M900G	from hqew, 捷辉电子商行	VIA	0727+	1260	BGA
PC82573V	from hqew, 捷辉电子商行	INTEL	0518+	9	BGA
PDC20579 88SP6029-LKJ1	from hqew, 捷辉电子商行	MARVELL	0703+	72	QFP
PEX8604-BA50BC	from hqew, 捷辉电子商行	PLX	0939+	1	BGA
PEX8747-BA80FBC	from hqew, 捷辉电子商行	PLX	1137+	1	BGA
PI3HDMI412ADZBE	from hqew, 捷辉电子商行	PERICOM	0709+	11	QFN56
PM49FL004T-33JCE	from hqew, 捷辉电子商行	PMC	0634+	22	PLCC
QD-NVS-210S-N-A2	from hqew, 捷辉电子商行	NVIDIA	0645+	9	BGA
QD-NVS-210S-N-A2	from hqew, 捷辉电子商行	NVIDIA	0634+	2	BGA
QD-NVS-210S-N-A2	from hqew, 捷辉电子商行	NVIDIA	0752+	2	BGA
QG5000P SL9TP	from hqew, 捷辉电子商行	INTEL	0643+	1	BGA
QG6702PXH SL8GH	from hqew, 捷辉电子商行	INTEL	0723+	61	BGA
QG6702PXH SL8GH	from hqew, 捷辉电子商行	INTEL	0704+	25	BGA
QG6702PXH SL8GH	from hqew, 捷辉电子商行	INTEL	0538+	1	BGA
QG82915P SL8AS	from hqew, 捷辉电子商行	INTEL	0540+	4	BGA
QG82915P SL8AS	from hqew, 捷辉电子商行	INTEL	0533+	24	BGA
QG82945G SL8FU	from hqew, 捷辉电子商行	INTEL	0641+	7	BGA
QG82945G SL8FU	from hqew, 捷辉电子商行	INTEL	0617+	9	BGA
QG82945G SL8FU	from hqew, 捷辉电子商行	INTEL	0628+	1	BGA
QG82945GC SLA9C	from hqew, 捷辉电子商行	INTEL	0726+	52	BGA
QG82945GC SLB86	from hqew, 捷辉电子商行	INTEL	1007+	3	BGA
QG82945GC SLB86	from hqew, 捷辉电子商行	INTEL	0831+	1	BGA
QG82945GM SL8Z2	from hqew, 捷辉电子商行	INTEL	0622+	10	BGA
QG82945GSE SLB2R	from hqew, 捷辉电子商行	INTEL	0847+	11	BGA
QG82945GZ SL927	from hqew, 捷辉电子商行	INTEL	0613+	9	BGA
QG82945P SL8FV	from hqew, 捷辉电子商行	INTEL	0531+	98	BGA
QG82945P SL8FV	from hqew, 捷辉电子商行	INTEL	0607+	56	BGA
QG82945P SL8FV	from hqew, 捷辉电子商行	INTEL	0532+	198	BGA
QG82945P SL8FV	from hqew, 捷辉电子商行	INTEL	0618+	10	BGA
QG82945P SL8FV	from hqew, 捷辉电子商行	INTEL	0601+	245	BGA
QG82945P SL8FV	from hqew, 捷辉电子商行	INTEL	0643+	4	BGA
QG82945P SL8HT	from hqew, 捷辉电子商行	INTEL	0611+	2	BGA
QG82945P SL8HT	from hqew, 捷辉电子商行	INTEL	0607+	217	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0639+	597	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0652+	36	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0637+	2	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0539+	1	BGA
QG82945PM SL8Z4	from hqew, 捷辉电子商行	INTEL	0727+	90	BGA
QG82945PM SL8Z4	from hqew, 捷辉电子商行	INTEL	0724+	300	BGA
QG82955X SL8FW	from hqew, 捷辉电子商行	INTEL	0521+	15	BGA
QG82955X SL8FW	from hqew, 捷辉电子商行	INTEL	0602+	15	BGA
QG82975X SL8YS	from hqew, 捷辉电子商行	INTEL	0550+	20	BGA
R2600-G	from hqew, 捷辉电子商行	RDC	0545+	5	BGA
RC82540EM	from hqew, 捷辉电子商行	INTEL	0511+	9	BGA
RG82845 SL5V7	from hqew, 捷辉电子商行	INTEL	0530+	97	BGA
RG82845 SL5YQ	from hqew, 捷辉电子商行	INTEL	0352+	298	BGA
RG82845E SL66N	from hqew, 捷辉电子商行	INTEL	0536+	24	BGA
RG82845E SL66N	from hqew, 捷辉电子商行	INTEL	0238+	1	BGA
RG82845E SL66N	from hqew, 捷辉电子商行	INTEL	0539+	289	BGA
RG82845GL SL6PT	from hqew, 捷辉电子商行	INTEL	0343+	3	BGA
RG82845PE SL6Q3	from hqew, 捷辉电子商行	INTEL	0317+	2	BGA
RG82845PE/SL6Q3	from hqew, 捷辉电子商行	INTEL	0403+	403	BGA
RG82848P SL77Y	from hqew, 捷辉电子商行	INTEL	0543+	76	BGA
RG82848P SL77Y	from hqew, 捷辉电子商行	INTEL	0606+	165	BGA
RG82848P SL77Y	from hqew, 捷辉电子商行	INTEL	0602+	25	BGA
RG82865P SL6UY	from hqew, 捷辉电子商行	INTEL	0318+	23	BGA
RG82865P SL6UY	from hqew, 捷辉电子商行	INTEL	0330+	4	BGA
RG82865P/SL6UY	from hqew, 捷辉电子商行	INTEL	0322+	228	BGA
RG82865PE SL722	from hqew, 捷辉电子商行	INTEL	0536+	194	BGA
RG82870P2/SL6SU	from hqew, 捷辉电子商行	INTEL	0530+	196	BGA
RG82875 SL744	from hqew, 捷辉电子商行	INTEL	0548+	25	BGA
RGE7210MC SL77W	from hqew, 捷辉电子商行	INTEL	0528+	47	BGA
RGE7501MC SL6NV	from hqew, 捷辉电子商行	INTEL	0443+	10	BGA
RT9605BPQV BD-9G	from hqew, 捷辉电子商行	RICHTEK	0731+	506	QFN-24
RTL8100BL	from hqew, 捷辉电子商行	REALTEK	0320+	12	QFP
RTL8110SB	from hqew, 捷辉电子商行	REALTEK	0550+	2	QFP
RTL8110SC-GR	from hqew, 捷辉电子商行	REALTEK	1128+	228	QFP
RTL8111DL	from hqew, 捷辉电子商行	REALTEK	07/08/09	347	QFP
RTL8201CL	from hqew, 捷辉电子商行	REALTEK	05/06+	138	QFP
RTL8211CL	from hqew, 捷辉电子商行	REALTEK	10+	17	QFP
RTM360-746R	from hqew, 捷辉电子商行	REALTEK	05+	20	SSOP
RTM360-803	from hqew, 捷辉电子商行	REALTEK	0531+	390	SSOP48
RTM682-800	from hqew, 捷辉电子商行	REALTEK	0640+	30	SSOP56
RTM866-485	from hqew, 捷辉电子商行	REALTEK	0751+	200	SSOP56
RTM866-485	from hqew, 捷辉电子商行	REALTEK	0752+	275	SSOP56
RTM866-890	from hqew, 捷辉电子商行	REALTEK	0629+	19	SSOP
S29AL016D70TFI02	from hqew, 捷辉电子商行	SPANSIO	0806+	2	TSOP48
S29GL032N90TFA04	from hqew, 捷辉电子商行	SPANSIO	0010+	1	TSOP48
S29GL064N90TFA02	from hqew, 捷辉电子商行	SPANSIO	0018+	1	TSOP56
S29GL064N90TFA04	from hqew, 捷辉电子商行	SPANSIO	0009+	1	TSOP48
S29JL032H001	from hqew, 捷辉电子商行	SPANSIO	0204+	5	TSOP48
SIL1362CLU	from hqew, 捷辉电子商行	SILICON	0514+	20	QFP48
SIL3112ACT144	from hqew, 捷辉电子商行	SILICON	0249+	5	TQFP144
SIL3512ECTU128	from hqew, 捷辉电子商行	SILICON	0438+	5	TQFP128
SIL5723CNU	from hqew, 捷辉电子商行	SILICON	0823+	15	QFN
SIL9030CTU	from hqew, 捷辉电子商行	SILICON	0735+	6	TQFP80
SIS741 GX	from hqew, 捷辉电子商行	SIS	0616+	86	BGA
SIS964	from hqew, 捷辉电子商行	SIS	0602+	30	BGA
SIS964	from hqew, 捷辉电子商行	SIS	0535+	4	BGA
SIS964	from hqew, 捷辉电子商行	SIS	0530+	1	BGA
SN9C234EJG	from hqew, 捷辉电子商行	SONIX	1123+	738	QFP46
SST39SF02A-70-4C-NH	from hqew, 捷辉电子商行	SST	05+	240	PLCC
STAC9708T	from hqew, 捷辉电子商行	SIGMATE	0223+	8	QFP48
VANTA-16	from hqew, 捷辉电子商行	NVIDIA	0245+	10	BGA
VSC8201RX	from hqew, 捷辉电子商行	VITESSE	0546+	153	QFP128
VSC8201RX	from hqew, 捷辉电子商行	VITESSE	0515+	68	QFP128
VSC8201XPX	from hqew, 捷辉电子商行	VITESSE	0535+	31	QFP128
VT1611A	from hqew, 捷辉电子商行	VIA	0128+	16	QFP48
VT1616	from hqew, 捷辉电子商行	VIA	0352+	181	QFP48
VT1617A	from hqew, 捷辉电子商行	VIA	0515+	1144	QFP
VT1708A CD	from hqew, 捷辉电子商行	VIA	0740+	277	QFP48
VT1708A CD	from hqew, 捷辉电子商行	VIA	0722+	115	QFP48
VT1708A CD	from hqew, 捷辉电子商行	VIA	0702+	247	QFP48
VT1708A CD	from hqew, 捷辉电子商行	VIA	0736+	79	QFP48
VT1708A CD	from hqew, 捷辉电子商行	VIA	0628+	7	QFP48
VT6105L	from hqew, 捷辉电子商行	VIA	0441+	19	QFP128
VT6202	from hqew, 捷辉电子商行	VIA	0228+	21	QFP128
VT6212	from hqew, 捷辉电子商行	VIA	0421+	400	QFP128
VT6212L	from hqew, 捷辉电子商行	VIA	0547CD	72	QFP128
VT6212L	from hqew, 捷辉电子商行	VIA	0649CD	2	QFP128
VT6306	from hqew, 捷辉电子商行	VIA	0315+	10	QFP128
VT6307 CD	from hqew, 捷辉电子商行	VIA	0415+	50	QFP128
VT6410	from hqew, 捷辉电子商行	VIA	0433+	712	QFP128
VT6410 CD	from hqew, 捷辉电子商行	VIA	0516+	41	QFP128
VT6410 CD	from hqew, 捷辉电子商行	VIA	0540+	30	QFP128
VT6410 CD	from hqew, 捷辉电子商行	VIA	0527+	3	QFP128
VT8237R PLUS CD	from hqew, 捷辉电子商行	VIA	0553+	2	BGA
VT8237R PLUS CD	from hqew, 捷辉电子商行	VIA	0817+	7	BGA
VT8237R PLUS CD	from hqew, 捷辉电子商行	VIA	0729+	82	BGA
VT82C686B	from hqew, 捷辉电子商行	VIA	&nbsp;	95	BGA
W83176G-733	from hqew, 捷辉电子商行	WINBOND	0527+	18	SSOP
W83196R-718	from hqew, 捷辉电子商行	WINBOND	0438+	28	SSOP56
WG82567LF SLAW3	from hqew, 捷辉电子商行	TI	0824+	679	TSSOP14
WG82567LM	from hqew, 捷辉电子商行	INTEL	0832+	21	QFN
WG82567LM	from hqew, 捷辉电子商行	INTEL	0939+	30	QFN
WPCE773LAODG	from hqew, 捷辉电子商行	NUVOTON	&nbsp;	12	QFP
XC3S1000	from hqew, 捷辉电子商行	XILINX	0813+	14	BGA
213R3LASB41	from hqew, 捷辉电子商行	ATI	0719+	59	BGA
215-0669049	from hqew, 捷辉电子商行	ATI	0923+	2	BGA
215-0669049	from hqew, 捷辉电子商行	ATI	0823+	1	BGA
215-0669061	from hqew, 捷辉电子商行	ATI	0833+	1	BGA
215-0674030	from hqew, 捷辉电子商行	ATI	0839+	1	BGA
215-0674032	from hqew, 捷辉电子商行	AMD	0920+	4	BGA
215-0682008	from hqew, 捷辉电子商行	ATI	0806+	2	BGA
215-0708017	from hqew, 捷辉电子商行	ATI	0809+	5	BGA
215-0708017	from hqew, 捷辉电子商行	ATI	0815+	3	BGA
215-0708017	from hqew, 捷辉电子商行	ATI	0814+	15	BGA
215-0716032	from hqew, 捷辉电子商行	AMD	0948+	500	BGA
215-0716046	from hqew, 捷辉电子商行	AMD	1128+	5	BGA
215-0725001	from hqew, 捷辉电子商行	ATI	0831+	9	BGA
215-0725007	from hqew, 捷辉电子商行	ATI	0837+	9	BGA
215-0725015	from hqew, 捷辉电子商行	ATI	1002+	15	BGA
215-0725016	from hqew, 捷辉电子商行	ATI	0943+	25	BGA
